MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
47456,,"Lake View High School",,,1937,"Chicago’s Charter Jubilee",41.95477,-87.66876,"4000 North Ashland Road","Chicago","Lake View","Cook County","Illinois","It is at the intersection of North Ashland Road and West Irving Park Road on North Ashland Road. ",,https://www.hmdb.org/m.asp?m=47456,9/29/2011,1/30/2023
47575,,"Chicago Water Tower","1869 – 1969",,1969,"American Water Works Association",41.89719,-87.62452,"806 North Michigan Avenue","Chicago","Streeterville","Cook County","Illinois","It is on North Michigan Avenue near East Chicago Avenue. ",,https://www.hmdb.org/m.asp?m=47575,9/29/2011,1/12/2024
47576,,"Old Water Tower",,,1937,"Chicago’s Charter Jubilee",41.89718,-87.62452,"806 North Michigan Avenue","Chicago","Streeterville","Cook County","Illinois","It is at the intersection of North Michigan Avenue and East Chicago Avenue on North Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=47576,9/29/2011,1/12/2024
47579,,"DeWitt Clinton Cregier",,,1933,"Friends of Chicago Water Works",41.89711,-87.62453,"806 North Michigan Avenue","Chicago","Streeterville","Cook County","Illinois","It is at the intersection of North Michigan Avenue and East Chicago Avenue on North Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=47579,9/29/2011,1/30/2023
47581,,"Great World War","1917 – 1918",,,"Harold A. Taylor Post, No. 47, American Legion",41.89701,-87.62441,"806 North Michigan Avenue","Chicago","Streeterville","Cook County","Illinois","It is at the intersection of North Michigan Avenue and East Chicago Avenue on North Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=47581,9/29/2011,1/30/2023
47602,,"Senator William J. Connors","July 26, 1891 – June 24, 1961",,1962,,41.89848,-87.62655,"36 East Chestnut Street","Chicago","Rush & Division","Cook County","Illinois","It is at the intersection of East Chestnut Street and Rush Street on East Chestnut Street. ",,https://www.hmdb.org/m.asp?m=47602,9/29/2011,1/30/2023
47605,"3","Old Town and The Great Fire (#3)",,,,,41.90828,-87.63452,"1414 Wells Street","Chicago","Near North Side","Cook County","Illinois","It is on Wells Street. ",,https://www.hmdb.org/m.asp?m=47605,9/30/2011,1/30/2023
47607,"2","Early Prominent Residents of Old Town (#2)",,,,,41.90933,-87.63465,"1504 Wells Street","Chicago","Near North Side","Cook County","Illinois","It is on Wells Street. ",,https://www.hmdb.org/m.asp?m=47607,9/30/2011,1/30/2023
47609,"1","Old Town’s Entrepreneur Spirit (#1)",,,,,41.91065,-87.63473,"1550 Wells Street","Chicago","Near North Side","Cook County","Illinois","It is on Wells Street. ",,https://www.hmdb.org/m.asp?m=47609,9/30/2011,1/30/2023
47624,,"Second City","50th Anniversary","December 2009",2009,,41.91143,-87.63462,"1612 North Wells Street","Chicago","Old Town Triangle","Cook County","Illinois","It is on North Wells Street. ",,https://www.hmdb.org/m.asp?m=47624,9/30/2011,1/30/2023
47626,,"Old Town Triangle","Chicago Landmark District",,,"Commission on Chicago Landmarks • City of Chicago • Richard M. Daley, Mayor",41.91483,-87.63570,"218 Monomonee Street","Chicago","Old Town Triangle","Cook County","Illinois","It is on Menomonee Street. ",,https://www.hmdb.org/m.asp?m=47626,9/30/2011,1/30/2023
47629,,"Oz Park",,,,,41.92175,-87.64410,"601 West Webster Street","Chicago","Lincoln Park","Cook County","Illinois","It is at the intersection of West Webster Street and North Larrabee Street on West Webster Street. ",,https://www.hmdb.org/m.asp?m=47629,9/30/2011,1/6/2024
47648,,"Q.S.M.V. Abegweit","“Queen of The Northumberland Strait”","Prince Edward Island Service",,,41.88410,-87.61237,"111 North Lake Shore Drive","Chicago","The Loop District","Cook County","Illinois","It is on North Lake Shore Drive. ",,https://www.hmdb.org/m.asp?m=47648,10/1/2011,1/30/2023
47651,,"Columbia Yacht Club","Founded 1892",,,"Columbia Yacht Club",41.88410,-87.61243,"111 North Lake Shore Drive","Chicago","The Loop District","Cook County","Illinois","It is on North Lake Shore Drive. ",,https://www.hmdb.org/m.asp?m=47651,10/1/2011,6/26/2023
47659,,"Grant Park","Buckingham Fountain","Architect: Bennett, Parsons and Frost • Engineer: Jacques Lambert • Sculptor: Marcel François Layau",,,41.87566,-87.62039,"511 South Columbia Drive","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South Columbia Drive and East Congress Parkway on South Columbia Drive. ",,https://www.hmdb.org/m.asp?m=47659,10/1/2011,1/30/2023
47665,,"The Honorable Joanne H. Alter",,,2005,"Metropolitan Water Reclamation District of Greater Chicago",41.88799,-87.61758,"200 Chicago River Walk","Chicago","The Loop District","Cook County","Illinois","It can be reached from Chicago Riverwalk. ",,https://www.hmdb.org/m.asp?m=47665,10/2/2011,9/11/2024
47668,,"Jack Brickhouse","Hall of Fame Broadcaster","1917-1998",,,41.89005,-87.62382,,"Chicago","Streeterville","Cook County","Illinois","It is on North Michigan Avenue, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=47668,10/2/2011,1/30/2023
47670,,"Fort Dearborn",,,1928,"Erected by the Trustees of the B. F. Ferguson Monument Fund",41.88841,-87.62468,,"Chicago","The Loop District","Cook County","Illinois","It is at the intersection of East Wacker Drive and North Michigan Avenue on East Wacker Drive. ",,https://www.hmdb.org/m.asp?m=47670,10/3/2011,1/30/2023
47681,,"Site of Fort Dearborn","1803",,1971,"Commission of Chicago Historical and Architectural Landmarks",41.88841,-87.62478,"98 East Wacker Drive","Chicago","The Loop District","Cook County","Illinois","It is on East Wacker Drive near North Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=47681,10/3/2011,1/30/2023
47683,,"Rene Robert Cavalier Sieur de La Salle",,,1925,"Illinois Society of Colonial Dames of America",41.88846,-87.62460,,"Chicago","The Loop District","Cook County","Illinois","It is on North Michigan Avenue near East Wacker Drive. ",,https://www.hmdb.org/m.asp?m=47683,10/3/2011,1/30/2023
47691,,"South Water Street",,,1937,"Chicago’s Charter Jubilee",41.88705,-87.62815,"2 West Wacker Drive","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of West Wacker Drive and North State Steet on West Wacker Drive. ",,https://www.hmdb.org/m.asp?m=47691,10/3/2011,1/30/2023
47692,,"“Hubbard’s Folly”",,,1937,"Chicago’s Charter Jubilee",41.88704,-87.63227,"144 West Wacker Drive","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of West Wacker Drive and North LaSalle Street on West Wacker Drive. ",,https://www.hmdb.org/m.asp?m=47692,10/3/2011,1/30/2023
47696,,"Wacker Drive",,,,,41.88583,-87.63705,"398 West Wacker Drive","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of West Wacker Drive and West Lake Street on West Wacker Drive. ",,https://www.hmdb.org/m.asp?m=47696,10/3/2011,1/30/2023
47724,,"First Post Office",,,1937,"Chicago’s Charter Jubilee",41.88583,-87.63705,"398 West Wacker Drive","Chicago","The Loop District","Cook County","Illinois","It can be reached from the intersection of West Wacker Drive and West Lake Street. ",,https://www.hmdb.org/m.asp?m=47724,10/6/2011,1/30/2023
47725,,"Site of the Sauganash Hotel/Wigwam","Chicago Landmark",,2002,"Commission on Chicago Landmarks",41.88545,-87.63700,"191 North Wacker Drive","Chicago","The Loop District","Cook County","Illinois","It is on North Wacker Drive south of West Lake Street. ",,https://www.hmdb.org/m.asp?m=47725,10/6/2011,1/30/2023
47726,,"Chicago & North Western Railway Powerhouse","Foster & Granger, architects","1909-1911",2006,"Commission on Chicago Landmarks",41.88615,-87.64112,"211 North Clinton Street","Chicago","West Loop","Cook County","Illinois","It is on North Clinton Street north of West Lake Street, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=47726,10/6/2011,1/30/2023
47728,,"Site of the Haymarket Tragedy",,,,,41.88490,-87.64415,"161 North Desplaines Street","Chicago","West Loop","Cook County","Illinois","It is at the intersection of North Desplaines Street and West Couch Place, on the left when traveling south on North Desplaines Street. ",,https://www.hmdb.org/m.asp?m=47728,10/6/2011,1/30/2023
47757,,"Continental and Commercial Bank Building","D.H. Burnham & Co. ; Graham, Anderson Probst & White, architects","1914",2007,"Commission on Chicago Landmarks",41.87918,-87.63249,"208 South LaSalle Street","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South LaSalle Street and West Adams Street, on the right when traveling south on South LaSalle Street. ",,https://www.hmdb.org/m.asp?m=47757,10/6/2011,1/30/2023
47758,,"Rookery Building","Burnham and Root, architects","1886",1972,"Commission of Chicago Historical and Architectural Landmarks",41.87915,-87.63209,"209 South LaSalle Street","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South LaSalle Street and West Adams Street, on the left when traveling south on South LaSalle Street. ",,https://www.hmdb.org/m.asp?m=47758,10/6/2011,1/30/2023
47759,,"The Standard Time System in the United States","Adopted on this Site – October 11, 1883",,1971,"The Midwest Railway Historical Society, Inc.",41.87840,-87.63194,"140 West Jackson Boulevard","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of West Jackson Boulevard and South LaSalle Street, on the left when traveling east on West Jackson Boulevard. ",,https://www.hmdb.org/m.asp?m=47759,10/6/2011,1/30/2023
47760,,"The Chicago Board of Trade's Statues","Symbolizing Agriculture and Industry",,2005,"Chicago Board of Trade",41.87793,-87.63185,"141 West Jackson Boulevard","Chicago","The Loop District","Cook County","Illinois","It is on West Jackson Boulevard near South LaSalle Street, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=47760,10/7/2011,1/30/2023
47779,,"The Donohue Building",,,,,41.87307,-87.62912,"711 South Dearborn Street","Chicago","The Loop District","Cook County","Illinois","It is on South Dearborn Street north of West Polk Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=47779,10/7/2011,1/30/2023
47780,,"Rowe Building",,,,,41.87296,-87.62938,"714 South Dearborn Street","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South Dearborn Street and West Polk Street, on the left when traveling north on South Dearborn Street. ",,https://www.hmdb.org/m.asp?m=47780,10/7/2011,1/30/2023
47781,,"Ludington Building","William Le Baron Jenney, architect","1891",1996,"Commission on Chicago Landmarks",41.86903,-87.62603,"1104 South Wabash Avenue","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South Wabash Avenue and East 11th Street, on the right when traveling south on South Wabash Avenue. ",,https://www.hmdb.org/m.asp?m=47781,10/7/2011,1/30/2023
47782,,"Aaron Montgomery Ward Gardens","In Grant Park","“Forever Open, Clear and Free”",1993,,41.86932,-87.62365,"1103 South Michigan Avenue","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South Michigan Avenue and East 11th Street on South Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=47782,10/12/2011,1/30/2023
47813,,"Henry Gerber House","1885","Chicago Landmark",2001,"Commission on Chicago Landmarks",41.91320,-87.63583,"1710 North Crilly Court","Chicago","Old Town Triangle","Cook County","Illinois","It is on North Crilly Court south of West Saint Paul Avenue, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=47813,10/7/2011,1/30/2023
47814,,"Couch Tomb",,,1999,,41.91323,-87.63135,,"Chicago","Lincoln Park","Cook County","Illinois","It is at the intersection of West LaSalle Drive and North Stockton Drive, on the right when traveling east on West LaSalle Drive. ",,https://www.hmdb.org/m.asp?m=47814,10/7/2011,1/30/2023
47815,,"Abraham Lincoln Monument","Augustus Saint-Gaudens, sculptor; Stanford White, architect","1887",2001,"Commission on Chicago Landmarks",41.91252,-87.63015,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from West LaSalle Drive, 0.1 miles east of North Stockton Drive, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=47815,10/7/2011,1/30/2023
47816,,"Abandoned Shoreline of Lake Michigan",,,,"The Chicago Park District",41.91592,-87.63095,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from North Stockton Drive, 0.2 miles north of West Lasalle Drive, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=47816,10/7/2011,1/30/2023
47818,,"Landmark Landings",,,,,41.91919,-87.63310,"2021 North Stockton Drive","Chicago","Lincoln Park","Cook County","Illinois","It can be reached from North Stockton Drive, 0.1 miles south of West Dickens Drive. ",,https://www.hmdb.org/m.asp?m=47818,10/7/2011,1/30/2023
47842,,"“Rites of Spring”","Milton Horn (1906-1995)","Sculptor",2004,"Milton Horn Art Trust",41.91927,-87.63302,"2200 North Cannon Drive","Chicago","Lincoln Park","Cook County","Illinois","It can be reached from North Cannon Drive, ½ mile south of West Fullerton Parkway, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=47842,10/9/2011,1/30/2023
47844,,"Alfred Caldwell Lily Pool",,,,"Friends of Lincoln Park",41.92430,-87.63328,,"Chicago","Lincoln Park","Cook County","Illinois","It can be reached from North Cannon Drive, 0.1 miles south of West Fullerton Parkway, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=47844,10/9/2011,1/30/2023
47845,,"Alfred Caldwell Lily Pool","Alfred Caldwell, landscape architect","1936-38",2002,"Commission on Chicago Landmarks",41.92557,-87.63433,,"Chicago","Lincoln Park","Cook County","Illinois","It is at the intersection of West Fullerton Parkway and North Cannon Drive, on the right when traveling east on West Fullerton Parkway. ",,https://www.hmdb.org/m.asp?m=47845,10/10/2011,1/30/2023
47846,,"Alfred Caldwell Lily Pool",,,2006,"National Park Service, U.S. Department of the Interior",41.92557,-87.63437,,"Chicago","Lincoln Park","Cook County","Illinois","It is at the intersection of West Fullerton Parkway and North Cannon Drive, on the right when traveling east on West Fullerton Parkway. ",,https://www.hmdb.org/m.asp?m=47846,10/10/2011,1/30/2023
47848,,"Terminal Building",,,,,41.89152,-87.60057,"600 East Grand Avenue","Chicago","Streeterville","Cook County","Illinois","It can be reached from East Grand Avenue, ½ mile east of North Streeter Drive. ",,https://www.hmdb.org/m.asp?m=47848,10/10/2011,1/30/2023
47850,,"Shelter Building",,,,,41.89145,-87.60112,"600 East Grand Avenue","Chicago","Streeterville","Cook County","Illinois","It can be reached from East Grand Avenue, ½ mile east of North Streeter Drive. ",,https://www.hmdb.org/m.asp?m=47850,10/10/2011,1/30/2023
47884,,"910 South Michigan","Built 1911","Architect: Marshall and Fox",,,41.87023,-87.62442,"910 South Michigan Avenue","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of South Michigan Avenue and East 9th Street, on the right when traveling south on South Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=47884,10/10/2011,1/30/2023
47885,,"Dearborn Street","Chicago Cultural Walk",,,,41.87614,-87.62914,"431 South Dearborn Street","Chicago","The Loop District","Cook County","Illinois","It is on South Dearborn Street north of West Congress Parkway, on the right when traveling north. <font color=red> Reported missing.</font>",Reported Missing,https://www.hmdb.org/m.asp?m=47885,10/10/2011,2/14/2024
47901,"77","The Blues Trail: Mississippi to Chicago",,,2009,"Mississippi Blues Commission",41.86790,-87.62298,"240 Roosevelt Rd","Chicago","The Loop District","Cook County","Illinois","It is on Roosevelt Road west of South Columbus Road, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=47901,10/20/2011,9/27/2024
51698,,"Carbide and Carbon Building","Burnham Brothers Inc., architect","1929",1996,"Commission on Chicago Landmarks",41.88678,-87.62476,"230 North Michigan Avenue","Chicago","The Loop District","Cook County","Illinois","It is at the intersection of East Wacker Place and North Michigan Avenue, on the right when traveling east on East Wacker Place. ",,https://www.hmdb.org/m.asp?m=51698,1/18/2012,1/30/2023
55451,,"Alexander Robinson",,,,,41.96771,-87.84725,,"Chicago","O'Hare","Cook County","Illinois","It can be reached from East River Road, 0.1 miles north of West Lawerence Avenue. ",,https://www.hmdb.org/m.asp?m=55451,5/19/2012,1/30/2023
55577,,"Old Treaty Elm",,,1937,"Chicago’s Charter Jubilee. Authenticated by Chicago Historic Society",41.98535,-87.74078,,"Chicago","Forest Glen","Cook County","Illinois","It is at the intersection of Noth Kilbourn Avenue and North Rodgers Avenue, on the right when traveling south on Noth Kilbourn Avenue. ",,https://www.hmdb.org/m.asp?m=55577,5/24/2012,2/15/2025
59980,,"Emil Bach House","Frank Lloyd Wright, Architect","1915",1977,"Commission on Chicago Historical and Architectural Landmarks",42.01647,-87.66504,"7415 North Sheridan Road","Chicago","Rogers Park","Cook County","Illinois","It is at the intersection of North Sheridan Road and West Jarvis Avenue, on the right on North Sheridan Road. ",,https://www.hmdb.org/m.asp?m=59980,10/3/2012,1/30/2023
61460,,"The 1992 River West Gas Fires",,,2008,"the Neighbors of River West, Timothy O’Mahony, and the Illinois State Historical Society",41.89857,-87.65843,"911 North Willard Court","Chicago","Pulaski Park","Cook County","Illinois","It is at the intersection of North Willard Court and North Milwaukee Avenue, on the right when traveling north on North Willard Court. ",,https://www.hmdb.org/m.asp?m=61460,11/29/2012,4/30/2024
61819,,"Jane Addams' Hull-House and Dining Hall","Settlement active from 1889 to 1963",,1974,"Commission on Chicago Historical and Architectural Landmarks",41.87160,-87.64739,"800 South Halsted Street","Chicago","Little Italy","Cook County","Illinois","It is at the intersection of South Halsted Street and West Polk Street, on the right when traveling south on South Halsted Street. ",,https://www.hmdb.org/m.asp?m=61819,12/14/2012,5/31/2024
61986,,"Allan Pinkerton","Graceland Cemetery, Chicago IL",,,,41.95783,-87.66032,"4001 North Clark Street","Chicago","Uptown","Cook County","Illinois","It is on Center Avenue, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=61986,12/21/2012,1/30/2023
63605,,"Confederate Mound Monument",,,1895,"United States Government, Ex-Confederate Association (Camp No. 8), and United Confederate Veterans (Northern Division)",41.76699,-87.60253,"1035 E 67th St","Chicago","Greater Grand Crossing","Cook County","Illinois","It can be reached from the intersection of East 67th Street and South Greenwood Avenue, on the right when traveling east. ",,https://www.hmdb.org/m.asp?m=63605,3/6/2013,6/1/2024
66329,,"Charles N. Loucks House","Clarence H. Tabor, architect 1889","Chicago Landmark",2008,"Commission on Chicago Landmarks",41.95261,-87.73269,"3926 N. Keeler Avenue","Chicago","Old Irving Park","Cook County","Illinois","It can be reached from Keeler Avenue. ",,https://www.hmdb.org/m.asp?m=66329,6/28/2013,9/24/2024
66612,,"Hotel St. Benedict Flats","James J. Egan, architect","1882-83",1996,"Commission on Chicago Landmarks",41.89684,-87.62672,"40 E. Chicago Ave.","Chicago","Rush & Division","Cook County","Illinois","It is at the intersection of East Chicago Avenue and North Wabash Avenue, on the right when traveling west on East Chicago Avenue. ",,https://www.hmdb.org/m.asp?m=66612,7/10/2013,1/30/2023
66624,,"Green Bay Road",,,1937,"Chicago’s Charter Jubilee",41.88926,-87.62451,"400 North Michigan Avenue","Chicago","Magnificent Mile","Cook County","Illinois","It is on North Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=66624,7/17/2013,1/30/2023
66729,,"Office and Studio of Perkins, Fellows & Hamilton, architects","1917","Chicago Landmark",1993,"Commission on Chicago Landmarks",41.89726,-87.62492,"814 N. Michigan Ave.","Chicago","Streeterville","Cook County","Illinois","It is on North Michigan Avenue south of East Pearson Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=66729,7/15/2013,12/24/2023
67806,,"Battle of Fort Dearborn","August 15, 1812",,2009,"Alderman Robert Fioretti, U.S Daughters of 1812, Prairie District Neighborhood Alliance, Glessner House Museum, American Indian Center, Dr. John N. Low on behalf of himself and his tribal community (Pokagon Band of Potawatomi Indians), and the Illinois State Historical Society.",41.85777,-87.61929,,"Chicago","Near South Side","Cook County","Illinois","It is at the intersection of Calumet Ave and 18th Street, on the right on Calumet Ave. ",,https://www.hmdb.org/m.asp?m=67806,8/18/2013,1/30/2023
68556,,"Gauler Twin Houses","Walter Burley Griffin, Architect","1906",2000,"Commission on Chicago Landmarks",41.98964,-87.66146,"5917-5921 N. Magnolia Avenue","Chicago","Magnolia Glen","Cook County","Illinois","It is on North Magnolia Avenue north of West Rosedale Avenue, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=68556,9/11/2013,1/30/2023
68559,,"Indian Boundary Park","1916",,1979,"Indian Boundary Area Council",42.00915,-87.69220,"2500 W. Lunt Avenue","Chicago","West Ridge","Cook County","Illinois","It can be reached from West Lunt Avenue west of North Western Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=68559,9/11/2013,1/30/2023
68560,,"Indian Boundary Village",,,,,42.00995,-87.69317,"2500 West Lunt Avenue","Chicago","West Ridge","Cook County","Illinois","It can be reached from West Lunt Avenue east of North Rockwell Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68560,9/11/2013,1/30/2023
68563,,"1877 Keystone from City Hall Building",,,1927,"Ridge Avenue Park Commissioners",42.00905,-87.69296,"2500 West Lunt Avenue","Chicago","West Ridge","Cook County","Illinois","It can be reached from West Lunt Avenue east of North Rockwell Street, on the left when traveling east. ",,https://www.hmdb.org/m.asp?m=68563,9/11/2013,1/30/2023
68565,,"Philip Rogers Home Site",,,1937,"Chicago's Charter Jubilee",42.00870,-87.69329,"2500 West Lunt Avenue","Chicago","West Ridge","Cook County","Illinois","It is on West Lunt Avenue west of North Campbell Avenue, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=68565,9/11/2013,1/30/2023
69586,,"John J. Glessner House","Henry Hobson Richardson, Architect","1887",,"Commission on Chicago Historical and Architectural Landmarks",41.85773,-87.62090,"1800 South Prairie Avenue","Chicago","Near South Side","Cook County","Illinois","It is at the intersection of South Prairie Avenue and East 18th Street, on the right when traveling south on South Prairie Avenue. ",,https://www.hmdb.org/m.asp?m=69586,10/22/2013,1/30/2023
69587,,"Henry B. Clarke House","1836",,,"Commission on Chicago Historical and Architectural Landmarks",41.85716,-87.62202,"1827 South Indiana Avenue","Chicago","Near South Side","Cook County","Illinois","",,https://www.hmdb.org/m.asp?m=69587,10/22/2013,1/30/2023
69591,,"Wheeler–Kohn House","Otis L. Wheelock, architect","1870",,"Commission on Chicago Landmarks",41.85496,-87.61922,"2020 South Calumet Avenue","Chicago","Near South Side","Cook County","Illinois","It is on South Calumet Avenue south of East Cullerton Street, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=69591,10/22/2013,1/30/2023
69593,,"The Platt Luggage Building","Formerly the Ginn & Company Publishers Building","Howard Van Doren Shaw, architect",2004,"Metropolitan Pier and Exposition Authority",41.85291,-87.61883,"2203 South Martin Luther King Jr. Drive","Chicago","Near South Side","Cook County","Illinois","It is at the intersection of South Martin Luther King Jr. Drive and South Calumet Avenue on South Martin Luther King Jr. Drive. ",,https://www.hmdb.org/m.asp?m=69593,10/22/2013,1/30/2023
69594,,"American Book Company Building","Nelson Max Dunning, architect","1912",,"Commission on Chicago Landmarks",41.85311,-87.61946,"320-330 East Cermak Avenue","Chicago","Near South Side","Cook County","Illinois","It is at the intersection of East Cermak Avenue and South Calumet Avenue on East Cermak Avenue. ",,https://www.hmdb.org/m.asp?m=69594,10/22/2013,1/30/2023
69608,,"Site of the First Self-sustaining Controlled Nuclear Chain Reaction","December 2, 1942",,,"Commission on Chicago Historical and Architectural Landmarks",41.79251,-87.60123,,"Chicago","Hyde Park","Cook County","Illinois","It is on South Ellis Avenue north of East 57th Street, on the right when traveling north. ",,https://www.hmdb.org/m.asp?m=69608,10/23/2013,1/30/2023
72205,,"Jean Baptiste Beaubien",,,1937,"Chicago's Charter Jubilee",41.88418,-87.62469,,"Chicago","The Loop District","Cook County","Illinois","It is at the intersection of North Michigan Avenue and East Randolph Street, on the right when traveling south on North Michigan Avenue. ",,https://www.hmdb.org/m.asp?m=72205,3/10/2014,1/30/2023
79428,,"Jean-Baptiste Pointe DuSable","1745-1818","Founder of Chicago",2009,"The City of Chicago",41.88922,-87.62383,,"Chicago","Streeterville","Cook County","Illinois","",,https://www.hmdb.org/m.asp?m=79428,12/8/2014,1/30/2023
79609,,"Regeneration",,,1928,"The B.F. Ferguson Monument Fund",41.88845,-87.62425,,"Chicago","The Loop District","Cook County","Illinois","It is on Michigan Avenue when traveling north. ",,https://www.hmdb.org/m.asp?m=79609,12/15/2014,1/30/2023
